FGOアイテム効率劇場PC																																																																																																							
AP効率Best5																																																																																																							
ドロップ率Best5																																																																																																							
副産物比較																																																																																																							
宝物庫																																																																																																							
AP効率表																																																																																																							
ドロップ率表																																																																																																							
																																																																																																							
	1周あたりのドロップ率（％）		スマホ用表示																																																																																																				
	エリア	クエスト名	AP	サンプル数		銅素材										銀素材																金素材												クエスト名	輝石								魔石								秘石							クエスト名	ピース								モニュ								猛火							クエスト名	基本絆P	EXP	QP	肖像		ランチタイム			肖像+ランチタイム		
						証	骨	牙	塵	鎖	毒針	髄液	鉄杭	火薬		種	ﾗﾝﾀﾝ	八連	蛇玉	羽根	歯車	頁	ホム	蹄鉄	勲章	貝殻	勾玉	結氷	指輪	ｵｰﾛﾗ		爪	心臓	逆鱗	根	幼角	涙石	脂	ﾗﾝﾌﾟ	ｽｶﾗﾍﾞ	産毛	胆石	神酒		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂					肖像1	肖像2	未凸1	凸1	凸2	像1+凸1	像2+凸1	像1+凸2
																																																																																																							
	修練場（月）	弓超級	40	6130		17.9			24.3							18.7				19.5				19.8													13.2							弓超級		20.7								120.5								30.1						弓超級		80.5								57.9														弓超級	615	"15,690"	"6,400"	665	715	627	676	738	726	776	788
	修練場（月）	弓上級	30	713		10.8			21.6							15.1				8.4				13.6													5.9							弓上級		18.9								156								15.1						弓上級		103.6								35.3														弓上級	415	"5,690"	"4,400"	465	515	423	456	498	506	556	548
	修練場（月）	弓中級	20	525		7.8	30.5	1.2	13.5							14.5				1				10.3																				弓中級		137.3								34.9														弓中級		66.9								7														弓中級	265	"1,385"	"2,900"	315	365	270	291	318	341	391	368
	修練場（月）	弓初級	10	1499		11.1	24.1	3.8	5.2															4.9																				弓初級		135.5																						弓初級		22.1								1.8														弓初級	115	275	"1,400"	165	215	117	126	138	176	226	188
	修練場（火）	槍超級	40	5560		19.5			23.5							25.3				11			21													13								槍超級			18.7								120.1								27.6					槍超級			77.2								55.5													槍超級	615	"15,690"	"6,400"	665	715	627	676	738	726	776	788
	修練場（火）	槍上級	30	988		16.2			20.5							19.7				8.9			18													5.9								槍上級			16.9								147.9								17					槍上級			98.9								35.1													槍上級	415	"5,690"	"4,400"	465	515	423	456	498	506	556	548
	修練場（火）	槍中級	20	310		10.6	16.5		13.5							12.3							8.7																					槍中級			116.1								66.1													槍中級			71.3								8.1													槍中級	265	"1,385"	"2,900"	315	365	270	291	318	341	391	368
	修練場（火）	槍初級	10	1186		11.8	26.8		6.4														4.2																					槍初級			117																					槍初級			22.7								2.7													槍初級	115	275	"1,400"	165	215	117	126	138	176	226	188
	修練場（水）	狂超級	40	2442		23.8			23.6									15.7														8.2												狂超級							16.8								116								23.5	狂超級							84.6								56.4									狂超級	615	"15,690"	"6,400"	665	715	627	676	738	726	776	788
	修練場（水）	狂上級	30	469		13.4			18.3									13.4														9												狂上級							14.3								132.8								14.1	狂上級							102.8								40.7									狂上級	415	"5,690"	"4,400"	465	515	423	456	498	506	556	548
	修練場（水）	狂中級	20	549		6.4			18.6									12.8														3.5												狂中級							123.7								63.8									狂中級							73.8								7.7									狂中級	265	"1,385"	"2,900"	315	365	270	291	318	341	391	368
	修練場（水）	狂初級	10	834		11.7			4.2									5.5																										狂初級							132.5																	狂初級							18.7								1.5									狂初級	115	275	"1,400"	165	215	117	126	138	176	226	188
	修練場（木）	騎超級	40	2727				46.7	16.9															20.5										7.3										騎超級				23								93.7								40.9				騎超級				77.7								58.6												騎超級	615	"15,690"	"6,400"	665	715	627	676	738	726	776	788
	修練場（木）	騎上級	30	718				44.2	12.5															15.1										3.4										騎上級				24								119.1								25.8				騎上級				102.8								40.7												騎上級	415	"5,690"	"4,400"	465	515	423	456	498	506	556	548
	修練場（木）	騎中級	20	709				25.5	16.3															10.6																				騎中級				92.8								93.5												騎中級				70.1								7												騎中級	265	"1,385"	"2,900"	315	365	270	291	318	341	391	368
	修練場（木）	騎初級	10	812				15.9	3.3															5.1																				騎初級				119.7																				騎初級				22.2								1.8												騎初級	115	275	"1,400"	165	215	117	126	138	176	226	188
	修練場（金）	術超級	40	9768					24.3										24.9			20.4											6.3											術超級					10.8								90.2								76.8			術超級					80.3								56.8											術超級	615	"15,690"	"6,400"	665	715	627	676	738	726	776	788
	修練場（金）	術上級	30	1233					22										22.3			15.4											3.8											術上級					4.4								172.7								22.4			術上級					96.3								32.3											術上級	415	"5,690"	"4,400"	465	515	423	456	498	506	556	548
	修練場（金）	術中級	20	885					21.5										14.5			9.6																						術中級					96.8								78.7											術中級					83.2								7											術中級	265	"1,385"	"2,900"	315	365	270	291	318	341	391	368
	修練場（金）	術初級	10	2515					14										8.2			4.8																						術初級					124.7								11.8											術初級					33.3								1.9											術初級	115	275	"1,400"	165	215	117	126	138	176	226	188
	修練場（土）	殺超級	40	6017				14.6	19.2							31	18.9				0.7																	12.3						殺超級						15.8								118.6								25.5		殺超級						80.7								58										殺超級	615	"15,690"	"6,400"	665	715	627	676	738	726	776	788
	修練場（土）	殺上級	30	715				9	14.1							19	15.9				18																	5.9						殺上級						16.2								147.7								14.4		殺上級						102								38										殺上級	415	"5,690"	"4,400"	465	515	423	456	498	506	556	548
	修練場（土）	殺中級	20	457				18.6	18.4							8.9	1.7				10.1																							殺中級						82.5								108.3										殺中級						68.9								8.5										殺中級	265	"1,385"	"2,900"	315	365	270	291	318	341	391	368
	修練場（土）	殺初級	10	1052				12.3	11.7								2.7				9.2																							殺初級						130.8																		殺初級						27.9								2.5										殺初級	115	275	"1,400"	165	215	117	126	138	176	226	188
	修練場（日）	剣超級	40	9254		19			22.2							27.1				10.8	20.6					21.1									8.1									剣超級	24.2								116.9								28.3							剣超級	74.2								52.1															剣超級	615	"15,690"	"6,400"	665	715	627	676	738	726	776	788
	修練場（日）	剣上級	30	3606		13.9			19.9							23.8				17.1	14.4					15.6									3.9									剣上級	25.8								134.5								5.2							剣上級	99.8								34.6															剣上級	415	"5,690"	"4,400"	465	515	423	456	498	506	556	548
	修練場（日）	剣中級	20	360		10.1			16.1							11.7					10					10.6																		剣中級	106.7								82.5															剣中級	69.4								8.6															剣中級	265	"1,385"	"2,900"	315	365	270	291	318	341	391	368
	修練場（日）	剣初級	10	1052		10.9	24.9	3.9	3.9												4.8					5.2																		剣初級	125.9																							剣初級	22.2								2.3															剣初級	115	275	"1,400"	165	215	117	126	138	176	226	188
	エリア	クエスト名	AP	サンプル数		銅素材										銀素材																金素材												クエスト名	輝石								魔石								秘石							クエスト名	ピース								モニュ								猛火							クエスト名	基本絆P	EXP	QP	肖像		ランチタイム			肖像+ランチタイム		
						証	骨	牙	塵	鎖	毒針	髄液	鉄杭	火薬		種	ﾗﾝﾀﾝ	八連	蛇玉	羽根	歯車	頁	ホム	蹄鉄	勲章	貝殻	勾玉	結氷	指輪	ｵｰﾛﾗ		爪	心臓	逆鱗	根	幼角	涙石	脂	ﾗﾝﾌﾟ	ｽｶﾗﾍﾞ	産毛	胆石	神酒		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂					肖像1	肖像2	未凸1	凸1	凸2	像1+凸1	像2+凸1	像1+凸2
	冬木	X-A（屋敷跡）	3	3376			7.6																																					X-A（屋敷跡）	17.4																							X-A（屋敷跡）																								X-A（屋敷跡）	25	4	650	75	125	25	27	30	77	127	80
	冬木	X-B（爆心地）	4	747			15																																					X-B（爆心地）	14.5		11.1																					X-B（爆心地）																								X-B（爆心地）	35	14	780	85	135	35	38	42	88	138	92
	冬木	X-C（大橋）	4	8140			18.5																																					X-C（大橋）	19.9		15.2																					X-C（大橋）																								X-C（大橋）	35	14	780	85	135	35	38	42	88	138	92
	冬木	X-D（港）	5	2029			20.5																																					X-D（港）	23.3	20.1																						X-D（港）																								X-D（港）	55	24	"1,040"	105	155	56	60	66	110	160	116
	冬木	X-E（教会）	5	1359			17.8		4.4																																			X-E（教会）	18.3	10.3																						X-E（教会）				5.4																				X-E（教会）	75	64	"1,300"	125	175	76	82	90	132	182	140
	冬木	X-F（校舎）	6	368			16.8		8.4																																			X-F（校舎）	12.2	16.6																						X-F（校舎）			3.3			4.9																		X-F（校舎）	95	124	"1,560"	145	195	96	104	114	154	204	164
	冬木	X-G（燃え盛る森）	15	17733			64.2																																					X-G（燃え盛る森）	10	5	20.2																					X-G（燃え盛る森）																								X-G（燃え盛る森）	415	"4,552"	"5,720"	465	515	423	456	498	506	556	548
	冬木	変動座標点0号（大空洞）	7	185				9.2	7.6																																			変動座標点0号（大空洞）	1.6	5.9				18.9																		変動座標点0号（大空洞）	7.6																							変動座標点0号（大空洞）	115	220	"1,820"	165	215	117	126	138	176	226	188
	オルレアン	ドンレミ	7	45		17.8																																						ドンレミ	11.1		8.9																					ドンレミ																								ドンレミ	115	220	"1,820"	165	215	117	126	138	176	226	188
	オルレアン	ヴォークルール	7	95			5.3	10.5																																				ヴォークルール	8.4			14.7																				ヴォークルール																								ヴォークルール	115	220	"1,820"	165	215	117	126	138	176	226	188
	オルレアン	ラ・シャリテ	7	170		5.9		13.5																																				ラ・シャリテ			12.4	35.3																				ラ・シャリテ																								ラ・シャリテ	115	220	"1,820"	165	215	117	126	138	176	226	188
	オルレアン	ジュラ	7	155				7.1	9							5.2																												ジュラ	13.5		18.1	20		7.1																		ジュラ				12.9																				ジュラ	135	300	"2,080"	185	235	137	148	162	198	248	212
	オルレアン	リヨン	7	299		20.1			5.8																																			リヨン	22.1		11.7																					リヨン						14.4																		リヨン	135	300	"2,080"	185	235	137	148	162	198	248	212
	オルレアン	マルセイユ	7	1372		29.6																																						マルセイユ	20		25																					マルセイユ																								マルセイユ	135	300	"2,080"	185	235	137	148	162	198	248	212
	オルレアン	ティエール	7	303				16.2	9																																			ティエール				42.6																				ティエール							6.3																	ティエール	135	300	"2,080"	185	235	137	148	162	198	248	212
	オルレアン	ボルドー	7	252												9.9																												ボルドー	6.7		30.2			24.2																		ボルドー																								ボルドー	135	300	"2,080"	185	235	137	148	162	198	248	212
	オルレアン	オルレアン	8	310			13.9	10.3	9.4																																			オルレアン			8.7	14.5								7.1												オルレアン					11.6																			オルレアン	155	392	"2,340"	205	255	158	170	186	220	270	236
	オルレアン	パリ	13	153			16.3	14.4	11.8																																			パリ		12.4		5.9								6.5												パリ	2	2.6	1.3																					パリ	315	"1,752"	"4,420"	365	415	321	346	378	396	446	428
	セプテム	アッビア街道	9	112		29.5			5.4																																			アッビア街道	18.8	12.5	7.1																					アッビア街道							9.8																	アッビア街道	175	504	"2,600"	225	275	178	192	210	242	292	260
	セプテム	ローマ	9	75		20																																						ローマ	24		13.3																					ローマ																								ローマ	175	504	"2,600"	225	275	178	192	210	242	292	260
	セプテム	エトナ火山	9	300													10.3																											エトナ火山						31.3																		エトナ火山																								エトナ火山	175	504	"2,600"	225	275	178	192	210	242	292	260
	セプテム	フロレンティア	9	224		29.5																																						フロレンティア	4	21	6.3																					フロレンティア																								フロレンティア	175	504	"2,600"	225	275	178	192	210	242	292	260
	セプテム	メディオラヌム	9	186		29.6																																						メディオラヌム	15.6		23.7																					メディオラヌム																								メディオラヌム	175	504	"2,600"	225	275	178	192	210	242	292	260
	セプテム	ゲルマニア	15	652			53.7																									2.6												ゲルマニア	13.5	5.1	10.3												8									ゲルマニア																								ゲルマニア	415	"4,552"	"5,720"	465	515	423	456	498	506	556	548
	セプテム	マッシリア	9	151		13.9			18.5																																			マッシリア	6.6		9.9																					マッシリア				8.6			10.6																	マッシリア	175	504	"2,600"	225	275	178	192	210	242	292	260
	セプテム	ガリア	9	628		15.6			8.3									6.8																										ガリア		9.2	13.9				15.3																	ガリア	9.2																							ガリア	195	632	"2,860"	245	295	198	214	234	264	314	284
	セプテム	ブリタニア	10	80												8.8																												ブリタニア	23.8		28.8			21.3																		ブリタニア																								ブリタニア	215	764	"3,120"	265	315	219	236	258	286	336	308
	セプテム	形ある島	9	34			20.6		5.9																																			形ある島		11.8	2.9																					形ある島							11.8																	形ある島	195	632	"2,860"	245	295	198	214	234	264	314	284
	セプテム	連合首都	10	158		13.3			7.6									1.9																										連合首都	3.8	13.3					10.1																	連合首都							12																	連合首都	215	764	"3,120"	265	315	219	236	258	286	336	308
	エリア	クエスト名	AP	サンプル数		銅素材										銀素材																金素材												クエスト名	輝石								魔石								秘石							クエスト名	ピース								モニュ								猛火							クエスト名	基本絆P	EXP	QP	肖像		ランチタイム			肖像+ランチタイム		
						証	骨	牙	塵	鎖	毒針	髄液	鉄杭	火薬		種	ﾗﾝﾀﾝ	八連	蛇玉	羽根	歯車	頁	ホム	蹄鉄	勲章	貝殻	勾玉	結氷	指輪	ｵｰﾛﾗ		爪	心臓	逆鱗	根	幼角	涙石	脂	ﾗﾝﾌﾟ	ｽｶﾗﾍﾞ	産毛	胆石	神酒		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂					肖像1	肖像2	未凸1	凸1	凸2	像1+凸1	像2+凸1	像1+凸2
	オケアノス	海賊船	12	3791		59.6																																						海賊船	19.6	26																						海賊船																								海賊船	295	"1,288"	"4,160"	345	395	300	324	354	374	424	404
	オケアノス	海賊島	13	254		51.6			11.4																																			海賊島		28.3					17.3																	海賊島				8.7								2.4												海賊島	315	"1,752"	"4,420"	365	415	321	346	378	396	446	428
	オケアノス	王の住まう島	13	71		29.6			8.5																																			王の住まう島		11.3					11.3																	王の住まう島							11.8								2									王の住まう島	335	"2,248"	"4,680"	385	435	341	368	402	418	468	452
	オケアノス	地図に記された島	13	509				38.1	14.5																																			地図に記された島	26.9	17.8																						地図に記された島							10.3								1.6									地図に記された島	335	"2,248"	"4,680"	385	435	341	368	402	418	468	452
	オケアノス	暗礁海域	17	1100			36.1												15.9																									暗礁海域		26			16.3								22.2											暗礁海域																								暗礁海域	515	"8,152"	"7,020"	565	615	525	566	618	616	666	668
	オケアノス	潮目の海	14	957		25.2												11.1																										潮目の海		18.5					18.2								4.6									潮目の海																								潮目の海	375	"3,336"	"5,200"	425	475	382	412	450	462	512	500
	オケアノス	翼竜の島	14	845				50.3																																				翼竜の島				42.2								5.9												翼竜の島																								翼竜の島	395	"3,928"	"5,460"	445	495	402	434	474	484	534	524
	オケアノス	カルデラの島	17	1493												16.1								12.9																				カルデラの島	38.3			35.4																				カルデラの島																								カルデラの島	555	"9,816"	"7,540"	605	655	566	610	666	660	710	716
	オケアノス	嵐の海域	15	1542													22.2																											嵐の海域						51.1																		嵐の海域																								嵐の海域	415	"4,552"	"5,720"	465	515	423	456	498	506	556	548
	オケアノス	群島（静かな入り江）	15	84		17.9		11.9	22.6																																			群島（静かな入り江）	31																							群島（静かな入り江）					13.1		13.1						2.4		3.6									群島（静かな入り江）	435	"5,208"	"5,980"	485	535	443	478	522	528	578	572
	オケアノス	群島（隠された島）	16	418																						28																		群島（隠された島）	49.3								3.8															群島（隠された島）																	5.3							群島（隠された島）	475	"6,616"	"6,500"	525	575	484	522	570	572	622	620
	オケアノス	豊かな海	18	3202												30.8				9.3																								豊かな海	16.4		22.7							9.7	5.1													豊かな海																								豊かな海	615	"12,552"	"8,320"	665	715	627	676	738	726	776	788
	ロンドン	オールドストリート	15	140																	11.4																							オールドストリート						59.3																		オールドストリート																								オールドストリート	435	"5,208"	"5,980"	485	535	443	478	522	528	578	572
	ロンドン	ホワイトチャペル	15	280					7.1												13.2																							ホワイトチャペル						43.2								4.1										ホワイトチャペル						8.2								2.5										ホワイトチャペル	435	"5,208"	"5,980"	485	535	443	478	522	528	578	572
	ロンドン	シティ・オブ・ロンドン	15	144																			11.8																					シティ・オブ・ロンドン			60.4																					シティ・オブ・ロンドン																								シティ・オブ・ロンドン	435	"5,208"	"5,980"	485	535	443	478	522	528	578	572
	ロンドン	ソーホー	16	99					13.1												7.1		11.1																					ソーホー			7.1			7.1					3			4										ソーホー					10.1								1											ソーホー	455	"5,896"	"6,240"	505	555	464	500	546	550	600	596
	ロンドン	ウェストミンスター	16	100					16														13																					ウェストミンスター			29								6													ウェストミンスター					15								5											ウェストミンスター	455	"5,896"	"6,240"	505	555	464	500	546	550	600	596
	ロンドン	リージェントパーク	16	141																	9.2	3.5																						リージェントパーク	22.7				11.3				9.2															リージェントパーク																								リージェントパーク	455	"5,896"	"6,240"	505	555	464	500	546	550	600	596
	ロンドン	クラーケンウェル	18	1407			37.5														26.4																							クラーケンウェル	20.3					7.6								14.6								3.5		クラーケンウェル																								クラーケンウェル	615	"12,552"	"8,320"	665	715	627	676	738	726	776	788
	ロンドン	サザーク	19	4372			28.7																30.5																					サザーク		15.2	31.6								10.6													サザーク																								サザーク	655	"14,536"	"8,840"	705	755	668	720	786	770	820	836
	ロンドン	ハイドパーク	20	4986			35.9															27.8																						ハイドパーク			18.2		8.8								15								3.1			ハイドパーク																								ハイドパーク	695	"16,648"	"9,360"	745	795	708	764	834	814	864	884
	北米	ブラックヒルズ	17	92																	16.3																							ブラックヒルズ		41.3																						ブラックヒルズ																								ブラックヒルズ	535	"8,968"	"7,280"	585	635	545	588	642	638	688	692
	北米	リバートン	17	244		38.5			32.8																																			リバートン	16.4	4.1	6.1																					リバートン			20.9								7.8													リバートン	535	"8,968"	"7,280"	585	635	545	588	642	638	688	692
	北米	デンバー	17	139					13.7												15.1																							デンバー		26.6								9.4														デンバー			13.7								7.7													デンバー	535	"8,968"	"7,280"	585	635	545	588	642	638	688	692
	北米	デミング	17	4017				62.3																																				デミング				37.1								7												デミング																								デミング	555	"9,816"	"7,540"	605	655	566	610	666	660	710	716
	北米	ダラス	17	3410		67.8																																						ダラス		10.3	25.6																					ダラス																								ダラス	555	"9,816"	"7,540"	605	655	566	610	666	660	710	716
	北米	アルカトラズ	18	167		47.9			13.8																																			アルカトラズ	3.6		25.7																					アルカトラズ							10.8								1.8									アルカトラズ	575	"10,696"	"7,800"	625	675	586	632	690	682	732	740
	北米	デモイン	18	2220					14.3							9.4																20.5												デモイン														8.7	8									デモイン			8.7								5													デモイン	575	"10,696"	"7,800"	625	675	586	632	690	682	732	740
	北米	モントゴメリー	18	1217		62.7			14.8																																			モントゴメリー		31.2																						モントゴメリー		10.2								5.4														モントゴメリー	595	"11,608"	"8,060"	645	695	606	654	714	704	754	764
	北米	ラボック	18	163		60.7																																12.3						ラボック	21.5	9.2												9.2										ラボック																								ラボック	615	"12,552"	"8,320"	665	715	627	676	738	726	776	788
	北米	アレクサンドリア	18	700		47																															11.6							アレクサンドリア	10.2	4.1	9.2							6.3														アレクサンドリア																								アレクサンドリア	615	"12,552"	"8,320"	665	715	627	676	738	726	776	788
	北米	カーニー	18	276		50.7																														12.7								カーニー	13.6		13.1								7.4													カーニー																								カーニー	615	"12,552"	"8,320"	665	715	627	676	738	726	776	788
	北米	シャーロット	20	20306		48.9			63.9																																			シャーロット		10.1	10.4		5																			シャーロット			9.7				28.4				4.5				12									シャーロット	715	"17,752"	"9,620"	765	815	729	786	858	836	886	908
	北米	ワシントン	20	376		48.7																													7.7									ワシントン	12.6	5.3	4.4		7.6												3.5							ワシントン																	89.9							ワシントン	745	"19,468"	"10,010"	795	845	759	819	894	869	919	944
	北米	シカゴ	21	3018																	40.8																							シカゴ		22.7								16.3								4						シカゴ																								シカゴ	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	エリア	クエスト名	AP	サンプル数		銅素材										銀素材																金素材												クエスト名	輝石								魔石								秘石							クエスト名	ピース								モニュ								猛火							クエスト名	基本絆P	EXP	QP	肖像		ランチタイム			肖像+ランチタイム		
						証	骨	牙	塵	鎖	毒針	髄液	鉄杭	火薬		種	ﾗﾝﾀﾝ	八連	蛇玉	羽根	歯車	頁	ホム	蹄鉄	勲章	貝殻	勾玉	結氷	指輪	ｵｰﾛﾗ		爪	心臓	逆鱗	根	幼角	涙石	脂	ﾗﾝﾌﾟ	ｽｶﾗﾍﾞ	産毛	胆石	神酒		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂					肖像1	肖像2	未凸1	凸1	凸2	像1+凸1	像2+凸1	像1+凸2
	キャメロット	砂嵐の砂漠	19	8288			63.9																																	8.1				砂嵐の砂漠	9.9	9.7	10.5																		3			砂嵐の砂漠																					89.1			砂嵐の砂漠	635	"13,528"	"8,580"	685	735	647	698	762	748	798	812
	キャメロット	明けの砂丘	19	252															11.5																				11.5					明けの砂丘					16.3								45.5											明けの砂丘																					77.1			明けの砂丘	635	"13,528"	"8,580"	685	735	647	698	762	748	798	812
	キャメロット	死の荒野	19	3993						63.1																																		死の荒野						19.6	15.2																	死の荒野																								死の荒野	655	"14,536"	"8,840"	705	755	668	720	786	770	820	836
	キャメロット	東の村	19	502				45																												17.3								東の村				40							10.6													東の村																								東の村	655	"14,536"	"8,840"	705	755	668	720	786	770	820	836
	キャメロット	円卓の砦	19	469		38																			19.2																			円卓の砦	9.9		20.6						12.9		9.9													円卓の砦																	7.9		9.8					円卓の砦	675	"15,576"	"9,100"	725	775	688	742	810	792	842	860
	キャメロット	晩鐘廟	19	1128													32.9																											晩鐘廟						48.4								2.6										晩鐘廟																								晩鐘廟	675	"15,576"	"9,100"	725	775	688	742	810	792	842	860
	キャメロット	西の村跡	20	507					46.2																																			西の村跡						43.1																		西の村跡						11.6								2.9										西の村跡	675	"15,576"	"9,100"	725	775	688	742	810	792	842	860
	キャメロット	アトラス院	20	391																	21	6.9																						アトラス院		15.4								19.6			16.7											アトラス院																		15.4						アトラス院	695	"16,648"	"9,360"	745	795	708	764	834	814	864	884
	キャメロット	聖都正門	20	1790																					32.8																			聖都正門									8.5	4.6	9.7													聖都正門																	17	7	10					聖都正門	715	"17,752"	"9,620"	765	815	729	786	858	836	886	908
	キャメロット	聖都市街	20	11333		35.2												27.4																	12.3									聖都市街	5		9.5														3.5						9	聖都市街																	83.9							聖都市街	715	"17,752"	"9,620"	765	815	729	786	858	836	886	908
	キャメロット	隠れ村	21	926						31.4																													17.5					隠れ村						11	4.6						6.3											隠れ村																					75.1			隠れ村	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	キャメロット	王城	21	5091					16.8																37																			王城									25.2															王城	10								4.8								24.1							王城	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	キャメロット	無の大地	22	1702																				44.5																				無の大地		9.1		14.9								5		5.1				3.4		7.3				無の大地																								無の大地	835	"25,048"	"11,180"	885	935	851	918	1002	968	1018	1052
	キャメロット	大神殿	22	2694						42.9																														11.3				大神殿						4.3	13.7														6.3			大神殿																					158.5			大神殿	855	"26,376"	"11,440"	905	955	872	940	1026	990	1040	1076
	バビロニア	廃都バビロン	20	1371												50.9																												廃都バビロン				45.7																				廃都バビロン																								廃都バビロン	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	バビロニア	北の高台	20	316												22.6																						18						北の高台				23.5										9.3										北の高台																						9		北の高台	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	バビロニア	黒い杉の森	20	98												34.7																									8.2			黒い杉の森				32.7								7.1												黒い杉の森																				0				黒い杉の森	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	バビロニア	高原	20	638							53.4					25.5																												高原			19.6	25.8																				高原																								高原	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	バビロニア	湿原	21	1228							39.1								26.5																									湿原			26.2							15.9														湿原																								湿原	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	バビロニア	ウル	21	1200												29.2																19.2												ウル									8.9					9.1	25.3									ウル																								ウル	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	バビロニア	エリドゥ	21	3986				64.8																																				エリドゥ				39.4								18.8												エリドゥ																								エリドゥ	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	バビロニア	観測所	21	5556																						42.5																		観測所	33.9								16.7															観測所																	10.6							観測所	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	バビロニア	葦の原	21	3778							62.2																																	葦の原			46.4																					葦の原																								葦の原	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	バビロニア	クタ	21	3474													38.3																											クタ						34.2								11.9										クタ																						4.4		クタ	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	バビロニア	北壁	21	514							43.8																														12.1			北壁			28.4									7.6												北壁																				6.1				北壁	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	バビロニア	ニップル	21	3011							29.8																							13.1										ニップル			23.6																	4.8				ニップル																				5.5				ニップル	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	バビロニア	エビフ山	21	3571												24																										12.3		エビフ山															25.1								3.9	エビフ山																							5	エビフ山	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	バビロニア	鮮血神殿	21	2500												23																									19			鮮血神殿				15.1								15.6												鮮血神殿																				11.7				鮮血神殿	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	エリア	クエスト名	AP	サンプル数		銅素材										銀素材																金素材												クエスト名	輝石								魔石								秘石							クエスト名	ピース								モニュ								猛火							クエスト名	基本絆P	EXP	QP	肖像		ランチタイム			肖像+ランチタイム		
